,latitude,longitude,altitude
0,27.914368654,86.857874293,5077.6
1,27.914735825,86.85948823,5049.6
2,27.914865121,86.86204361,4992.0
3,27.914940532,86.864473132,5025.5
4,27.914974534,86.866637264,4999.8
5,27.914791524,86.868326321,4997.9
6,27.914781813,86.870227227,5000.5
7,27.914906408,86.871964331,5025.3
8,27.915073091,86.873957697,5081.9
9,27.914563869,86.876543072,5042.3
10,27.914255107,86.878887715,5006.9
11,27.914043926,86.881282208,4976.8
12,27.914123651,86.883706174,4978.8
13,27.913741949,86.887318382,4985.2
14,27.913440026,86.889999872,5035.0
15,27.913515528,86.892004839,5116.8
16,27.912429889,86.896497986,5019.5
17,27.912082049,86.899878085,5013.9
18,27.911684748,86.902048847,5016.8
19,27.911781975,86.905660837,5026.5
20,27.911686018,86.909994619,5031.2
21,27.911616568,86.913125678,5060.3
22,27.91148139,86.917696114,5229.8
23,27.911840059,86.921255904,5476.0
24,27.911190919,86.924824659,5405.1
25,27.911145902,86.927165814,5510.0
26,27.911466531,86.928780728,5607.9
27,27.910629573,86.931655095,5511.3
28,27.910586393,86.933521768,5585.8
29,27.909932602,86.935229778,5484.2
30,27.909023205,86.939385755,5341.8
31,27.908683383,86.94114381,5216.4
32,27.908298931,86.942873184,5194.0
33,27.908051948,86.944088861,5140.7
34,27.908038696,86.945534688,5133.6
35,27.908103394,86.947438071,5134.6
36,27.908150523,86.948624615,5140.4
37,27.90823438,86.950758611,5157.9
38,27.908081329,86.951702383,5180.6
39,27.908173533,86.952628322,5221.5
40,27.908288584,86.953783534,5231.9
41,27.909799729,86.95509663,5295.5
42,27.911738089,86.955998343,5334.4
43,27.915309402,86.957704427,5226.2
44,27.918085407,86.95883622,5228.6
45,27.923425756,86.960859973,5254.2
46,27.926799886,86.961871089,5347.4
47,27.941026354,86.964020789,6141.8
48,27.95023542,86.962575417,6989.0
49,27.953096827,86.96205015,7282.1
50,27.957353173,86.961576308,7128.5
51,27.959340843,86.961881594,6869.4
52,27.960258544,86.96240198,6798.5
53,27.963587293,86.962530605,6723.2
54,27.965642731,86.962537343,6669.7
55,27.967079855,86.962532891,6079.3
56,27.969331646,86.962059135,5598.0
57,27.97135949,86.961861448,5553.4
58,27.973654761,86.961811096,5549.4
59,27.976404609,86.961676232,5623.1
60,27.979152034,86.961282876,5670.6
61,27.982796757,86.960653035,5951.9
62,27.985760507,86.960085932,6240.6
63,27.987358168,86.95994852,6114.0
64,27.989785105,86.960056194,5925.0
65,27.992046605,86.960025869,5885.2
66,27.9949252,86.959462423,5861.4
67,27.996365623,86.958836905,6064.6
68,27.997400235,86.958539095,6245.8
69,27.998617149,86.957641626,6490.1
70,28.000200732,86.956412003,6801.0
71,28.001784498,86.956295732,6949.9
72,28.004200519,86.956508972,6710.6
73,28.006036714,86.956685019,6537.5
74,28.008450414,86.956657472,6436.6
75,28.010062059,86.956643344,6455.3
76,28.012067098,86.956810137,6492.1
77,28.015224693,86.95705499,6570.8
78,28.016943436,86.956844389,6780.4
79,28.017962028,86.956871948,6708.6
80,28.020973968,86.957433703,6480.4
81,28.022993788,86.957405798,6435.2
82,28.023195179,86.957401937,6433.6
83,28.025029384,86.957176754,6417.5
84,28.027882804,86.956268315,6396.1
85,28.029097575,86.955575797,6372.1
86,28.030314702,86.954884248,6362.1
87,28.031738945,86.954192219,6351.5
88,28.032950937,86.952588107,6324.8
89,28.033540456,86.950072879,6310.5
90,28.033699687,86.946634319,6312.5
91,28.033389015,86.942927801,6358.0
92,28.032521071,86.939593774,6524.2
93,28.032024526,86.936496526,6774.5
94,28.031575731,86.932480258,7060.0
95,28.031536193,86.929579434,7054.2
96,28.031519976,86.925347983,6988.4
97,28.031769173,86.922450925,6919.1
98,28.03176113,86.918190929,6847.1
99,28.032183637,86.914356124,6783.5
100,28.032264316,86.911889624,6861.9
101,28.032496524,86.908993248,6976.1
102,28.032439485,86.907885935,6991.6
103,28.032913963,86.906052924,6920.8
104,28.033605355,86.903896312,6733.4
105,28.034120139,86.901466713,6377.6
106,28.034449123,86.898755014,6111.1
107,28.034892449,86.896041814,5909.4
108,28.034739462,86.894129854,5816.9
109,28.034430298,86.891702881,5743.7
110,28.034228268,86.890043807,5727.6
111,28.03397814,86.886997105,5725.8
112,28.033951916,86.885119098,5720.7
113,28.033935516,86.883945226,5727.8
