time,o,h,l,c,vol
1451613600000.0,424.0,434.23,415.99,430.76,1072844.0
1451700000000.0,430.76,436.7,426.37,435.99,478071.0
1451786400000.0,435.99,438.0,429.25,435.0,729519.0
1451872800000.0,435.0,435.4,422.14,429.79,1218222.0
1451959200000.0,429.79,436.44,427.5,432.3,798056.0
1452045600000.0,432.3,434.97,429.0,432.57,480736.0
1452132000000.0,432.57,432.2,425.01,428.72,555455.0
1452218400000.0,428.72,464.04,426.12,461.02,3420928.0
1452304800000.0,461.02,469.49,445.42,453.53,2973447.0
1452391200000.0,453.53,454.81,444.86,450.0,1608658.0
1452477600000.0,450.0,450.75,439.01,450.5,1316820.0
1452564000000.0,450.5,454.89,445.28,450.43,2075229.0
1452650400000.0,450.43,453.35,430.0,431.45,1762340.0
1452736800000.0,431.45,438.01,420.48,429.94,2324192.0
1452823200000.0,429.94,432.92,425.76,427.87,651926.0
1452909600000.0,427.87,428.31,360.0,360.0,2562104.0
1452996000000.0,360.0,391.44,350.83,388.6,2530911.0
1453082400000.0,388.6,392.62,377.33,380.0,1923597.0
1453168800000.0,380.0,389.1,373.16,384.53,1207683.0
1453255200000.0,384.53,387.9,375.99,376.74,1139997.0
1453341600000.0,376.74,428.0,372.99,421.44,2780268.0
1453428000000.0,421.44,424.73,404.2,411.76,1709469.0
1453514400000.0,411.76,412.26,368.01,381.8,3898698.0
1453600800000.0,381.8,396.5,380.58,387.01,2642327.0
1453687200000.0,387.01,408.79,386.21,403.67,1659215.0
1453773600000.0,403.67,404.51,388.17,389.0,2331402.0
1453860000000.0,389.0,397.01,386.98,391.55,1281634.0
1453946400000.0,391.55,397.92,391.31,395.63,340083.0
1454032800000.0,395.63,394.94,375.42,380.0,1200822.0
1454119200000.0,380.0,385.58,361.0,377.35,2298885.0
1454205600000.0,377.35,383.43,373.0,376.95,964099.0
1454292000000.0,376.95,379.0,360.01,364.99,711509.0
1454378400000.0,364.99,378.56,364.99,371.62,1783415.0
1454464800000.0,371.62,376.13,369.99,372.69,637209.0
1454551200000.0,372.69,373.9,365.71,369.78,1088239.0
1454637600000.0,369.78,395.0,369.31,389.49,1487389.0
1454724000000.0,389.49,398.98,384.59,385.39,914820.0
1454810400000.0,385.39,386.18,371.0,374.3,1488034.0
1454896800000.0,374.3,380.29,373.01,375.74,497376.0
1454983200000.0,375.74,381.44,370.89,371.86,1034043.0
1455069600000.0,371.86,377.8,371.15,375.55,184439.0
1455156000000.0,375.55,385.93,374.82,381.39,347574.0
1455242400000.0,381.39,383.0,374.0,378.2,482977.0
1455328800000.0,378.2,384.56,377.47,382.22,716688.0
1455415200000.0,382.22,395.0,382.11,394.85,924733.0
1455501600000.0,394.85,409.4,394.33,408.92,1162021.0
1455588000000.0,408.92,413.99,392.0,399.17,1986806.0
1455674400000.0,399.17,410.0,397.17,406.6,1735067.0
1455760800000.0,406.6,422.2,403.57,414.99,1568296.0
1455847200000.0,414.99,426.11,414.5,420.77,1050982.0
1455933600000.0,420.77,422.19,412.0,419.71,843415.0
1456023600000.0,419.71,447.0,420.33,438.98,2922733.0
1456110000000.0,438.98,451.61,427.5,439.87,2183112.0
1456196400000.0,439.87,442.23,430.35,439.19,862594.0
1456282800000.0,439.19,442.23,413.57,420.07,1412797.0
1456369200000.0,420.07,426.83,410.65,424.52,786934.0
1456455600000.0,424.52,431.11,418.8,424.46,1013217.0
1456542000000.0,424.46,434.33,418.45,434.02,757074.0
1456628400000.0,434.02,436.1,429.7,432.04,660402.0
1456714800000.0,432.04,436.0,423.18,433.99,736904.0
1456801200000.0,433.99,442.79,431.52,435.96,877171.0
1456887600000.0,435.96,440.38,424.5,433.55,718888.0
1456974000000.0,433.55,435.53,421.92,423.8,584575.0
1457060400000.0,423.8,424.01,417.8,419.99,652635.0
1457146800000.0,419.99,423.33,407.35,408.68,734758.0
1457233200000.0,408.68,410.03,390.08,398.01,1053709.0
1457319600000.0,398.01,410.38,392.76,404.08,507708.0
1457406000000.0,404.08,414.58,402.28,412.92,550935.0
1457492400000.0,412.92,415.24,409.02,412.49,260292.0
1457578800000.0,412.49,414.15,408.1,413.64,218286.0
1457665200000.0,413.64,418.08,411.06,418.03,316241.0
1457751600000.0,418.03,423.48,416.61,421.87,648801.0
1457838000000.0,421.87,421.96,407.23,411.4,878204.0
1457924400000.0,411.4,416.17,411.17,412.58,147641.0
1458010800000.0,412.58,416.01,412.58,415.68,153706.0
1458097200000.0,415.68,418.05,413.25,415.53,168834.0
1458183600000.0,415.53,417.73,413.47,416.86,118770.0
1458270000000.0,416.86,419.46,417.0,419.2,124519.0
1458356400000.0,419.2,418.6,402.49,408.68,406058.0
1458442800000.0,408.68,409.81,403.68,409.25,316965.0
1458529200000.0,409.25,412.55,406.81,412.24,258957.0
1458615600000.0,412.24,412.25,407.53,412.25,239995.0
1458702000000.0,412.25,417.77,411.18,416.99,233530.0
1458788400000.0,416.99,419.0,414.55,416.57,440562.0
1458874800000.0,416.57,418.36,412.41,415.67,375917.0
1458961200000.0,415.67,416.84,410.88,415.82,298790.0
1459047600000.0,415.82,418.4,413.45,416.5,214610.0
1459134000000.0,416.5,433.97,415.82,425.5,1055387.0
1459220400000.0,425.5,427.76,421.73,422.46,500286.0
1459306800000.0,422.46,425.09,406.9,414.58,554114.0
1459393200000.0,414.58,414.99,408.62,412.09,271640.0
1459479600000.0,412.09,416.75,412.08,415.49,277938.0
1459566000000.0,415.49,417.04,413.39,417.04,155005.0
1459652400000.0,417.04,422.07,417.03,420.0,276964.0
1459738800000.0,420.0,420.69,416.6,419.6,217898.0
1459825200000.0,419.6,420.52,417.64,419.55,151366.0
1459911600000.0,419.55,423.98,419.28,423.24,196764.0
1459998000000.0,423.24,423.52,420.96,422.04,169323.0
1460084400000.0,422.04,422.37,417.92,421.4,136234.0
1460170800000.0,421.4,423.51,415.0,417.99,333475.0
1460257200000.0,417.99,418.21,412.14,418.21,309777.0
1460343600000.0,418.21,422.19,416.59,421.16,162242.0
1460430000000.0,421.16,423.43,418.86,423.0,166892.0
1460516400000.0,423.0,428.24,422.92,425.63,303902.0
1460602800000.0,425.63,427.5,421.65,424.11,175775.0
1460689200000.0,424.11,425.62,423.38,425.31,112112.0
1460775600000.0,425.31,436.97,424.91,430.25,417871.0
1460862000000.0,430.25,434.97,429.26,431.23,358783.0
1460948400000.0,431.23,432.21,425.33,428.04,244919.0
1461034800000.0,428.04,430.38,427.27,430.38,139790.0
1461121200000.0,430.38,438.85,428.56,437.03,226325.0
1461207600000.0,437.03,446.49,434.82,443.7,710504.0
1461294000000.0,443.7,453.63,441.61,451.61,1047914.0
1461380400000.0,451.61,451.94,444.23,448.0,764968.0
1461466800000.0,448.0,454.75,445.82,454.75,956624.0
1461553200000.0,454.75,467.12,447.81,464.32,2135164.0
1461639600000.0,464.32,472.32,455.56,463.03,1222200.0
1461726000000.0,463.03,473.39,462.63,468.43,943793.0
1461812400000.0,468.43,469.99,443.03,445.11,1385867.0
1461898800000.0,445.11,450.36,433.0,450.22,1049334.0
1461985200000.0,450.22,457.17,445.79,456.39,607830.0
1462071600000.0,456.39,456.39,445.52,446.7,309677.0
1462158000000.0,446.7,452.8,446.57,451.41,311584.0
1462244400000.0,451.41,452.52,437.06,443.59,891501.0
1462330800000.0,443.59,451.46,439.66,449.75,416444.0
1462417200000.0,449.75,449.7,444.07,446.95,311163.0
1462503600000.0,446.95,450.12,445.43,448.09,414141.0
1462590000000.0,448.09,463.9,447.1,459.91,440302.0
1462676400000.0,459.91,462.47,457.38,459.52,311135.0
1462762800000.0,459.52,460.62,455.61,459.9,288704.0
1462849200000.0,459.9,465.51,456.5,462.23,291938.0
1462935600000.0,462.23,463.49,445.6,450.6,416197.0
1463022000000.0,450.6,454.33,450.33,451.56,218195.0
1463108400000.0,451.56,455.3,446.4,454.75,338949.0
1463194800000.0,454.75,457.72,452.56,456.49,374620.0
1463281200000.0,456.49,458.43,454.69,455.81,650624.0
1463367600000.0,455.81,459.6,454.84,457.75,547849.0
1463454000000.0,457.75,458.82,450.33,452.7,974502.0
1463540400000.0,452.7,454.38,451.65,452.75,569805.0
1463626800000.0,452.75,456.25,452.07,454.01,376248.0
1463713200000.0,454.01,454.23,432.86,433.0,2140400.0
1463799600000.0,433.0,442.67,432.38,440.36,1143359.0
1463886000000.0,440.36,441.7,437.26,440.49,511318.0
1463972400000.0,440.49,440.98,434.81,436.61,1184607.0
1464058800000.0,436.61,443.35,435.81,442.3,1074909.0
1464145200000.0,442.3,445.44,441.64,443.06,773484.0
1464231600000.0,443.06,449.58,443.32,447.01,1136596.0
1464318000000.0,447.01,453.82,445.0,453.75,1240088.0
1464404400000.0,453.75,485.95,453.75,474.55,3907916.0
1464490800000.0,474.55,544.95,473.44,531.0,7109386.0
1464577200000.0,531.0,571.0,512.49,536.74,5516528.0
1464663600000.0,536.74,562.0,531.01,545.03,2986123.0
1464750000000.0,545.03,552.48,520.0,537.01,4405265.0
1464836400000.0,537.01,550.5,527.03,542.0,2706525.0
